,dataset,lambda,mean,std,sem,ci,lower,upper
182,seeds,10.0,83.57142857142858,2.4766483093230183,0.7831849620665966,1.5540088778992256,82.01741969352936,85.1254374493278
183,breast_cancer,10.0,93.56766256590508,0.5044885797682745,0.1595332965611288,0.3165486713666536,93.25111389453843,93.88421123727173
184,mnist,10.0,53.71,2.135509306933592,0.6753073374397757,1.339956266426197,52.3700437335738,55.0499562664262
185,iris,12.0,67.2,11.838918869558997,3.7437948661752296,7.4285012364360705,59.77149876356393,74.62850123643608
186,wine,12.0,83.31460674157304,10.528425641882762,3.329380520406979,6.606213266614327,76.70839347495871,89.92082000818738
187,seeds,12.0,86.28571428571429,4.404697554227496,1.392887667553191,2.763791321506432,83.52192296420786,89.04950560722072
188,breast_cancer,12.0,93.60281195079088,0.5342243990710278,0.16893658826991884,0.33520684217521585,93.26760510861567,93.93801879296609
189,mnist,12.0,50.93,1.1307519621915327,0.35757516692298436,0.7095067076471324,50.22049329235287,51.63950670764713
190,iris,14.0,63.53333333333333,10.987063099643851,3.47441441908641,6.893991986917447,56.63934134641588,70.42732532025077
191,wine,14.0,82.92134831460676,10.347454489746331,3.272152417253382,6.492660294234272,76.42868802037249,89.41400860884103
192,seeds,14.0,84.76190476190477,8.57407366594345,2.711360161045097,5.379926793190993,79.38197796871378,90.14183155509576
193,breast_cancer,14.0,93.77855887521967,0.316344463971879,0.10003690313362136,0.19849491897416358,93.58006395624551,93.97705379419384
194,mnist,14.0,50.77,0.8176796438703848,0.2585730070985754,0.5130649438875683,50.25693505611243,51.283064943887574
195,iris,16.0,69.86666666666666,11.118752927674343,3.5160583992116337,6.976622678210207,62.890043988456455,76.84328934487687
196,wine,16.0,74.4943820224719,6.119212945703416,1.9350650396011053,3.8395888538483334,70.65479316862357,78.33397087632022
197,seeds,16.0,78.0,11.38443859735168,3.6000755849963855,7.143331002462365,70.85666899753764,85.14333100246236
198,breast_cancer,16.0,93.51493848857643,0.3554261584561848,0.11239562007254597,0.22301729462327527,93.29192119395316,93.73795578319971
